site_id,site_name,country,lat,lon,base_network,base_2021,base_2022,base_2023,base_2024,wetlsp_2021,wetlsp_2022,wetlsp_2023,wetlsp_2024,final_fetch_r,tower_height_m,canopy_height_m,site_folder,netcdf_2021_file,netcdf_2022_file,netcdf_2023_file,netcdf_2024_file,parquet_geom_path,parquet_meta_path,parquet_timeseries_path,readme_json_path,readme_md_path
AT-Nsd,Lake Neusiedl reed belt,Austria,47.76914,16.758492,euroflux,1,1,0,0,1,1,1,1,600,8.6,4.3,AT-Nsd/,AT-Nsd/AT-Nsd-wetlsp-2021.nc,AT-Nsd/AT-Nsd-wetlsp-2022.nc,AT-Nsd/AT-Nsd-wetlsp-2023.nc,AT-Nsd/AT-Nsd-wetlsp-2024.nc,AT-Nsd/pixels_geom_ds/,AT-Nsd/pixels_meta_ds/meta.parquet,AT-Nsd/pixels_timeseries_ds/,AT-Nsd/README-parquet.json,AT-Nsd/README-parquet.md
AU-Arc,Arcturus,Australia,-23.85872,148.4746,,0,0,0,0,1,1,1,1,600,6.7,0.5,AU-Arc/,AU-Arc/AU-Arc-wetlsp-2021.nc,AU-Arc/AU-Arc-wetlsp-2022.nc,AU-Arc/AU-Arc-wetlsp-2023.nc,AU-Arc/AU-Arc-wetlsp-2024.nc,AU-Arc/pixels_geom_ds/,AU-Arc/pixels_meta_ds/meta.parquet,AU-Arc/pixels_timeseries_ds/,AU-Arc/README-parquet.json,AU-Arc/README-parquet.md
BR-Mam,Mamiraua,Brazil,-3.064,-64.8492,amf,0,0,0,0,1,1,1,1,1300,20,10,BR-Mam/,BR-Mam/BR-Mam-wetlsp-2021.nc,BR-Mam/BR-Mam-wetlsp-2022.nc,BR-Mam/BR-Mam-wetlsp-2023.nc,BR-Mam/BR-Mam-wetlsp-2024.nc,BR-Mam/pixels_geom_ds/,BR-Mam/pixels_meta_ds/meta.parquet,BR-Mam/pixels_timeseries_ds/,BR-Mam/README-parquet.json,BR-Mam/README-parquet.md
BR-Npw,Pantanal of Mato Gross,Brazil,-16.4981,-56.4119,amf,0,0,0,0,1,0,0,1,1500,20,8,BR-Npw/,BR-Npw/BR-Npw-wetlsp-2021.nc,BR-Npw/BR-Npw-wetlsp-2022.nc,BR-Npw/BR-Npw-wetlsp-2023.nc,BR-Npw/BR-Npw-wetlsp-2024.nc,BR-Npw/pixels_geom_ds/,BR-Npw/pixels_meta_ds/meta.parquet,BR-Npw/pixels_timeseries_ds/,BR-Npw/README-parquet.json,BR-Npw/README-parquet.md
BR-SM1,Cachoeira do Sul,Brazil,-30.277108,-53.147922,amf,0,0,0,0,1,0,0,1,200,3,1,BR-SM1/,BR-SM1/BR-SM1-wetlsp-2021.nc,BR-SM1/BR-SM1-wetlsp-2022.nc,BR-SM1/BR-SM1-wetlsp-2023.nc,BR-SM1/BR-SM1-wetlsp-2024.nc,BR-SM1/pixels_geom_ds/,BR-SM1/pixels_meta_ds/meta.parquet,BR-SM1/pixels_timeseries_ds/,BR-SM1/README-parquet.json,BR-SM1/README-parquet.md
BW-Gum,Guma,Botswana,-18.9647,22.3711,euroflux,1,1,1,1,1,1,0,0,400,5.5,2.75,BW-Gum/,BW-Gum/BW-Gum-wetlsp-2021.nc,BW-Gum/BW-Gum-wetlsp-2022.nc,BW-Gum/BW-Gum-wetlsp-2023.nc,BW-Gum/BW-Gum-wetlsp-2024.nc,BW-Gum/pixels_geom_ds/,BW-Gum/pixels_meta_ds/meta.parquet,BW-Gum/pixels_timeseries_ds/,BW-Gum/README-parquet.json,BW-Gum/README-parquet.md
BW-Nxr,Nxaraga,Botswana,-19.5481,23.1792,euroflux,1,1,1,1,1,1,1,1,200,2.5,1.25,BW-Nxr/,BW-Nxr/BW-Nxr-wetlsp-2021.nc,BW-Nxr/BW-Nxr-wetlsp-2022.nc,BW-Nxr/BW-Nxr-wetlsp-2023.nc,BW-Nxr/BW-Nxr-wetlsp-2024.nc,BW-Nxr/pixels_geom_ds/,BW-Nxr/pixels_meta_ds/meta.parquet,BW-Nxr/pixels_timeseries_ds/,BW-Nxr/README-parquet.json,BW-Nxr/README-parquet.md
CA-BOU,Bouleau Peatland,Canada,50.5244,-63.2064,amf,0,0,0,0,1,1,1,1,300,3,0.3,CA-BOU/,CA-BOU/CA-BOU-wetlsp-2021.nc,CA-BOU/CA-BOU-wetlsp-2022.nc,CA-BOU/CA-BOU-wetlsp-2023.nc,CA-BOU/CA-BOU-wetlsp-2024.nc,CA-BOU/pixels_geom_ds/,CA-BOU/pixels_meta_ds/meta.parquet,CA-BOU/pixels_timeseries_ds/,CA-BOU/README-parquet.json,CA-BOU/README-parquet.md
CA-CF3,Churchill Fen Site 3,Canada,58.6658,-93.8304,amf,0,1,1,1,1,1,1,1,300,3.5,0.3,CA-CF3/,CA-CF3/CA-CF3-wetlsp-2021.nc,CA-CF3/CA-CF3-wetlsp-2022.nc,CA-CF3/CA-CF3-wetlsp-2023.nc,CA-CF3/CA-CF3-wetlsp-2024.nc,CA-CF3/pixels_geom_ds/,CA-CF3/pixels_meta_ds/meta.parquet,CA-CF3/pixels_timeseries_ds/,CA-CF3/README-parquet.json,CA-CF3/README-parquet.md
CA-DB2,Delta Burns Bog 2,Canada,49.119,-122.9951,amf,1,1,1,1,0,0,1,1,200,2.5,0.3,CA-DB2/,CA-DB2/CA-DB2-wetlsp-2021.nc,CA-DB2/CA-DB2-wetlsp-2022.nc,CA-DB2/CA-DB2-wetlsp-2023.nc,CA-DB2/CA-DB2-wetlsp-2024.nc,CA-DB2/pixels_geom_ds/,CA-DB2/pixels_meta_ds/meta.parquet,CA-DB2/pixels_timeseries_ds/,CA-DB2/README-parquet.json,CA-DB2/README-parquet.md
CA-DBB,Delta Burns Bog,Canada,49.1293,-122.9849,amf,1,1,1,1,1,1,0,0,200,1.8,0.3,CA-DBB/,CA-DBB/CA-DBB-wetlsp-2021.nc,CA-DBB/CA-DBB-wetlsp-2022.nc,CA-DBB/CA-DBB-wetlsp-2023.nc,CA-DBB/CA-DBB-wetlsp-2024.nc,CA-DBB/pixels_geom_ds/,CA-DBB/pixels_meta_ds/meta.parquet,CA-DBB/pixels_timeseries_ds/,CA-DBB/README-parquet.json,CA-DBB/README-parquet.md
CA-DSM,Delta Salt Marsh,Canada,49.0887,-122.8954,amf,1,1,1,1,1,1,1,1,200,2,0.4,CA-DSM/,CA-DSM/CA-DSM-wetlsp-2021.nc,CA-DSM/CA-DSM-wetlsp-2022.nc,CA-DSM/CA-DSM-wetlsp-2023.nc,CA-DSM/CA-DSM-wetlsp-2024.nc,CA-DSM/pixels_geom_ds/,CA-DSM/pixels_meta_ds/meta.parquet,CA-DSM/pixels_timeseries_ds/,CA-DSM/README-parquet.json,CA-DSM/README-parquet.md
CA-EM2,Shoal Lake Manitoba,Canada,50.3706,-100.5339,amf,1,1,1,0,1,1,1,0,300,4.1,1,CA-EM2/,CA-EM2/CA-EM2-wetlsp-2021.nc,CA-EM2/CA-EM2-wetlsp-2022.nc,CA-EM2/CA-EM2-wetlsp-2023.nc,CA-EM2/CA-EM2-wetlsp-2024.nc,CA-EM2/pixels_geom_ds/,CA-EM2/pixels_meta_ds/meta.parquet,CA-EM2/pixels_timeseries_ds/,CA-EM2/README-parquet.json,CA-EM2/README-parquet.md
CA-RBM,Richmond Brackish Marsh,Canada,49.1313,-123.1964,amf,0,1,1,1,1,1,0,0,300,3,0.4,CA-RBM/,CA-RBM/CA-RBM-wetlsp-2021.nc,CA-RBM/CA-RBM-wetlsp-2022.nc,CA-RBM/CA-RBM-wetlsp-2023.nc,CA-RBM/CA-RBM-wetlsp-2024.nc,CA-RBM/pixels_geom_ds/,CA-RBM/pixels_meta_ds/meta.parquet,CA-RBM/pixels_timeseries_ds/,CA-RBM/README-parquet.json,CA-RBM/README-parquet.md
CA-SCC,Scotty Creek Landscape,Canada,61.3079,-121.2992,amf,1,1,1,1,1,1,0,1,700,10,5,CA-SCC/,CA-SCC/CA-SCC-wetlsp-2021.nc,CA-SCC/CA-SCC-wetlsp-2022.nc,CA-SCC/CA-SCC-wetlsp-2023.nc,CA-SCC/CA-SCC-wetlsp-2024.nc,CA-SCC/pixels_geom_ds/,CA-SCC/pixels_meta_ds/meta.parquet,CA-SCC/pixels_timeseries_ds/,CA-SCC/README-parquet.json,CA-SCC/README-parquet.md
CZ-wet,Trebon (CZECHWET),Czechia,49.02465,14.77035,euroflux,1,1,1,1,1,1,1,1,200,2.5,1,CZ-wet/,CZ-wet/CZ-wet-wetlsp-2021.nc,CZ-wet/CZ-wet-wetlsp-2022.nc,CZ-wet/CZ-wet-wetlsp-2023.nc,CZ-wet/CZ-wet-wetlsp-2024.nc,CZ-wet/pixels_geom_ds/,CZ-wet/pixels_meta_ds/meta.parquet,CZ-wet/pixels_timeseries_ds/,CZ-wet/README-parquet.json,CZ-wet/README-parquet.md
DE-Amv,Amtsvenn,Germany,52.1757,6.95543,euroflux,0,0,0,1,1,1,1,1,300,2.8,0.3,DE-Amv/,DE-Amv/DE-Amv-wetlsp-2021.nc,DE-Amv/DE-Amv-wetlsp-2022.nc,DE-Amv/DE-Amv-wetlsp-2023.nc,DE-Amv/DE-Amv-wetlsp-2024.nc,DE-Amv/pixels_geom_ds/,DE-Amv/pixels_meta_ds/meta.parquet,DE-Amv/pixels_timeseries_ds/,DE-Amv/README-parquet.json,DE-Amv/README-parquet.md
DE-Hte,Huetelmoor,Germany,54.210278,12.176111,euroflux,0,0,0,0,1,1,1,1,300,3,0.5,DE-Hte/,DE-Hte/DE-Hte-wetlsp-2021.nc,DE-Hte/DE-Hte-wetlsp-2022.nc,DE-Hte/DE-Hte-wetlsp-2023.nc,DE-Hte/DE-Hte-wetlsp-2024.nc,DE-Hte/pixels_geom_ds/,DE-Hte/pixels_meta_ds/meta.parquet,DE-Hte/pixels_timeseries_ds/,DE-Hte/README-parquet.json,DE-Hte/README-parquet.md
DE-SfN,Schechenfilz Nord,Germany,47.80639,11.3275,euroflux,0,0,0,0,1,1,1,1,300,3,0.5,DE-SfN/,DE-SfN/DE-SfN-wetlsp-2021.nc,DE-SfN/DE-SfN-wetlsp-2022.nc,DE-SfN/DE-SfN-wetlsp-2023.nc,DE-SfN/DE-SfN-wetlsp-2024.nc,DE-SfN/pixels_geom_ds/,DE-SfN/pixels_meta_ds/meta.parquet,DE-SfN/pixels_timeseries_ds/,DE-SfN/README-parquet.json,DE-SfN/README-parquet.md
DE-UtM,Uchter Moor,Germany,52.5083,8.825833,euroflux,0,0,0,0,1,1,0,0,300,3.2,0.5,DE-UtM/,DE-UtM/DE-UtM-wetlsp-2021.nc,DE-UtM/DE-UtM-wetlsp-2022.nc,DE-UtM/DE-UtM-wetlsp-2023.nc,DE-UtM/DE-UtM-wetlsp-2024.nc,DE-UtM/pixels_geom_ds/,DE-UtM/pixels_meta_ds/meta.parquet,DE-UtM/pixels_timeseries_ds/,DE-UtM/README-parquet.json,DE-UtM/README-parquet.md
DE-Zrk,Zarnekow,Germany,53.87594,12.88901,site_paper,1,0,0,0,1,1,1,1,300,3.4,0.5,DE-Zrk/,DE-Zrk/DE-Zrk-wetlsp-2021.nc,DE-Zrk/DE-Zrk-wetlsp-2022.nc,DE-Zrk/DE-Zrk-wetlsp-2023.nc,DE-Zrk/DE-Zrk-wetlsp-2024.nc,DE-Zrk/pixels_geom_ds/,DE-Zrk/pixels_meta_ds/meta.parquet,DE-Zrk/pixels_timeseries_ds/,DE-Zrk/README-parquet.json,DE-Zrk/README-parquet.md
EE-Pts,Pitsalu,Estonia,58.562299,24.369933,,0,1,1,1,1,1,1,1,500,5,0.5,EE-Pts/,EE-Pts/EE-Pts-wetlsp-2021.nc,EE-Pts/EE-Pts-wetlsp-2022.nc,EE-Pts/EE-Pts-wetlsp-2023.nc,EE-Pts/EE-Pts-wetlsp-2024.nc,EE-Pts/pixels_geom_ds/,EE-Pts/pixels_meta_ds/meta.parquet,EE-Pts/pixels_timeseries_ds/,EE-Pts/README-parquet.json,EE-Pts/README-parquet.md
EE-Rng,Ruhingu,Estonia,57.913145,26.694047,,0,0,1,1,1,1,1,1,500,5,0.5,EE-Rng/,EE-Rng/EE-Rng-wetlsp-2021.nc,EE-Rng/EE-Rng-wetlsp-2022.nc,EE-Rng/EE-Rng-wetlsp-2023.nc,EE-Rng/EE-Rng-wetlsp-2024.nc,EE-Rng/pixels_geom_ds/,EE-Rng/pixels_meta_ds/meta.parquet,EE-Rng/pixels_timeseries_ds/,EE-Rng/README-parquet.json,EE-Rng/README-parquet.md
ES-Pdu,Padul,Estonia,37.016975,-3.609228,,0,0,0,0,1,1,1,1,500,6,2,ES-Pdu/,ES-Pdu/ES-Pdu-wetlsp-2021.nc,ES-Pdu/ES-Pdu-wetlsp-2022.nc,ES-Pdu/ES-Pdu-wetlsp-2023.nc,ES-Pdu/ES-Pdu-wetlsp-2024.nc,ES-Pdu/pixels_geom_ds/,ES-Pdu/pixels_meta_ds/meta.parquet,ES-Pdu/pixels_timeseries_ds/,ES-Pdu/README-parquet.json,ES-Pdu/README-parquet.md
FR-LGt,La Guette,France,47.322917,2.284102,,1,1,1,1,1,1,1,1,200,2.5,0.3,FR-LGt/,FR-LGt/FR-LGt-wetlsp-2021.nc,FR-LGt/FR-LGt-wetlsp-2022.nc,FR-LGt/FR-LGt-wetlsp-2023.nc,FR-LGt/FR-LGt-wetlsp-2024.nc,FR-LGt/pixels_geom_ds/,FR-LGt/pixels_meta_ds/meta.parquet,FR-LGt/pixels_timeseries_ds/,FR-LGt/README-parquet.json,FR-LGt/README-parquet.md
GF-Guy,GuyaFlux,French Guiana,5.2817,-52.9122,,0,0,0,0,0,0,1,1,3000,50,30,GF-Guy/,GF-Guy/GF-Guy-wetlsp-2021.nc,GF-Guy/GF-Guy-wetlsp-2022.nc,GF-Guy/GF-Guy-wetlsp-2023.nc,GF-Guy/GF-Guy-wetlsp-2024.nc,GF-Guy/pixels_geom_ds/,GF-Guy/pixels_meta_ds/meta.parquet,GF-Guy/pixels_timeseries_ds/,GF-Guy/README-parquet.json,GF-Guy/README-parquet.md
ID-Pag,Palangkaraya Undrained Forest,Indonesia,-2.32,113.9,,0,0,0,0,1,1,1,1,2000,35,23,ID-Pag/,ID-Pag/ID-Pag-wetlsp-2021.nc,ID-Pag/ID-Pag-wetlsp-2022.nc,ID-Pag/ID-Pag-wetlsp-2023.nc,ID-Pag/ID-Pag-wetlsp-2024.nc,ID-Pag/pixels_geom_ds/,ID-Pag/pixels_meta_ds/meta.parquet,ID-Pag/pixels_timeseries_ds/,ID-Pag/README-parquet.json,ID-Pag/README-parquet.md
ID-Pal,Palangkaraya Drained Forest,Indonesia,-2.345,114.036,,0,0,0,0,1,1,1,1,2500,41.3,25,ID-Pal/,ID-Pal/ID-Pal-wetlsp-2021.nc,ID-Pal/ID-Pal-wetlsp-2022.nc,ID-Pal/ID-Pal-wetlsp-2023.nc,ID-Pal/ID-Pal-wetlsp-2024.nc,ID-Pal/pixels_geom_ds/,ID-Pal/pixels_meta_ds/meta.parquet,ID-Pal/pixels_timeseries_ds/,ID-Pal/README-parquet.json,ID-Pal/README-parquet.md
IT-Cas,Castellaro,Italy,45.0700472,8.71752222,,0,0,0,0,1,1,1,1,300,3.5,1,IT-Cas/,IT-Cas/IT-Cas-wetlsp-2021.nc,IT-Cas/IT-Cas-wetlsp-2022.nc,IT-Cas/IT-Cas-wetlsp-2023.nc,IT-Cas/IT-Cas-wetlsp-2024.nc,IT-Cas/pixels_geom_ds/,IT-Cas/pixels_meta_ds/meta.parquet,IT-Cas/pixels_timeseries_ds/,IT-Cas/README-parquet.json,IT-Cas/README-parquet.md
JP-BBY,Bibai bog,Japan,43.3230056,141.810697,,1,0,0,0,1,1,0,1,200,2.3,0.6,JP-BBY/,JP-BBY/JP-BBY-wetlsp-2021.nc,JP-BBY/JP-BBY-wetlsp-2022.nc,JP-BBY/JP-BBY-wetlsp-2023.nc,JP-BBY/JP-BBY-wetlsp-2024.nc,JP-BBY/pixels_geom_ds/,JP-BBY/pixels_meta_ds/meta.parquet,JP-BBY/pixels_timeseries_ds/,JP-BBY/README-parquet.json,JP-BBY/README-parquet.md
JP-Mse,Mase rice paddy field,Japan,36.05393,140.02693,,0,0,0,0,1,1,1,1,300,3,0.5,JP-Mse/,JP-Mse/JP-Mse-wetlsp-2021.nc,JP-Mse/JP-Mse-wetlsp-2022.nc,JP-Mse/JP-Mse-wetlsp-2023.nc,JP-Mse/JP-Mse-wetlsp-2024.nc,JP-Mse/pixels_geom_ds/,JP-Mse/pixels_meta_ds/meta.parquet,JP-Mse/pixels_timeseries_ds/,JP-Mse/README-parquet.json,JP-Mse/README-parquet.md
